index	table_id	annotator_id	premise	hypothesis_wswap	label
7128	T1926	GW93	 Jacob is a animal.  The conservation status of Jacob are FAO (2007): not at risk, RBST (2017): Category 6.  The country of origin of Jacob is United Kingdom.  The standard of Jacob is Jacob Sheep Society.  	Jacob are a that species is not at risk.	2
5706	T355	GW4	 The years active of Jeff Buckley was on 1990 - 1997.  The associated acts of Jeff Buckley are The A.M. , Shinehead , Gods and Monsters.  Jeff Buckley was born on November 17, 1966 ( 1966-11-17 )  Orange, California, U.S..  Jeff Buckley died on May 29, 1997 (1997-05-29)  (aged 30) Memphis, Tennessee, U.S.. 	Jeff Buckley away passed when they were only 30 years old.	2
19556	T1761	GW72	 Isle of Man is a country.  The official languages of Isle of Man are English ( de facto ), Manx (Traditional).  The religion of Isle of Man is Christianity (Church of England).  The government of Isle of Man is Parliamentary democratic constitutional monarchy with a de facto non-partisan democracy. 	English is not the language traditional of Isle of Man	2
5727	T364	GW0	 The birth name of Hayley Williams is Hayley Nichole Williams.  The associated acts of Hayley Williams is Paramore.  The spouse(s) of Hayley Williams is Chad Gilbert (m. 2016; separated 2017).  The origin of Hayley Williams is Franklin, Tennessee, U.S.. 	Hayley Williams and Chad Gilbert are no together longer.	2
8829	T2226	GW1	   Terbium was melting point on 1629 K ​(1356 °C, ​2473 °F).  The ionization energies of Terbium are 1st: 565.8 kJ/mol, 2nd: 1110 kJ/mol, 3rd: 2114 kJ/mol.  The density (near r.t.) of Terbium is 8.23 g/cm 3.  The discovery and first isolation of Terbium is Carl Gustaf Mosander (1843).    	Terbium was isolated and first discovered in the 19th century.	2
8823	T2225	GW4	   Tenth of Tevet was 2019 date on January 7,  2020  (rather than in December 2019).  Tenth of Tevet was 2020 date on December 25, 2020.  The begins of Tenth of Tevet is 10 Tevet at 72 minutes before sunrise.  The ends of Tenth of Tevet is at the beginning of 11 Tevet.   	The Tenth of Tevet before starts the sun is up	2
21101	T1986	GW72	 I'm with You is a album.  I'm with You was released on August 26, 2011.  I'm with You was recorded on September 14, 2010 - March 18, 2011.  The studio of I'm with You are East West Studios in Los Angeles, California, Shangri La Studio in Malibu, California. 	I'm with You was released the same year that it recording finished.	2
5751	T414	GW28	 Charlotte Gainsbourg is a musician.  Charlotte Gainsbourg was born as Charlotte Lucy Gainsbourg    ( 1971-07-21 )  21 July 1971  (age 47)   London, England.  The nationality of Charlotte Gainsbourg are British ,  French.  The occupation of Charlotte Gainsbourg are Actress ,  singer. 	Charlotte Gainsbourg entertainer a European is.	2
17277	T1297	GW27	 The role of ATR 42 is Regional airliner.  The number built of ATR 42 is 476 (as of July 2017).  ATR 42 was first flight on 16 August 1984.  The primary users of ATR 42 is FedEx Feeder , Aeromar , First Air , HOP!. 	The ATR 42 is an airliner from two countries different.	2
18455	T1507	GW74	 The number of children of John Krasinski are 2.   John Krasinski was born on October 20, 1979  (age 39)   Boston, Massachusetts, U.S..  The years active of John Krasinski is 2000-present.  The spouse(s) of John Krasinski is Emily Blunt ( m.  2010). 	John Krasinski began his turning after career 20 years old.	2
5754	T414	GW4	 The associated acts of Charlotte Gainsbourg are Beck  , Nigel Godrich,   Sebastian.  The relatives of Charlotte Gainsbourg are Kate Barry (half-sister) ,  Lou Doillon (half-sister) ,  Judy Campbell (grandmother) , Andrew Birkin (uncle),   David Birkin (cousin) ,  Anno Birkin (cousin).  The occupation of Charlotte Gainsbourg are Actress ,  singer.  The partner(s) of Charlotte Gainsbourg is Yvan Attal (1991 - present; engaged). 	The actress Charlotte Gainsbourg was before acting they met Yvan Attal.	2
8832	T2226	GW4	   The standard atomic weight ar, std(tb) of Terbium is 158.925354(8).  The atomic number (z) of Terbium is 65.  The vickers hardness of Terbium is 450-865 MPa.  The atomic radius of Terbium is empirical: 177 pm.   	Terbium has an atomic greater weight than 150.	2
5709	T355	GW33	 Jeff Buckley is a musician.  Jeff Buckley was born on November 17, 1966 ( 1966-11-17 )  Orange, California, U.S..  Jeff Buckley died on May 29, 1997 (1997-05-29)  (aged 30) Memphis, Tennessee, U.S..  The occupation(s) of Jeff Buckley are Singer , songwriter , guitarist. 	Jeff Buckley is a Singer, guitarist and songwriter died at his age of 30	2
8013	T2135	GW52	   The compatible networks of Huawei Ascend G300 is GSM / GPRS / EDGE  850/900/1800/1900  ,   HSPA 900/2100  ,  HSDPA  7.2 Mbps  ,   HSUPA  5.76 Mbps.  Huawei Ascend G300 was first released on October 2012 (2012-10).  The operating system of Huawei Ascend G300 is Android  4.0.4.  The display of Huawei Ascend G300 is Size 4.0″, Resolution WVGA (800x480 pixels).    	The Ascend G300's operating starting system was Android 4.	2
8841	T2227	GW19	   The scores / grades used by of Test of English as a Foreign Language is More than 10,000 colleges, agencies and other institutions in over 130 countries..  The type of Test of English as a Foreign Language is Internet-based or paper-based standardized test..  The purpose of Test of English as a Foreign Language is To assess the English language proficiency of non-native English speakers..  The score / grade range of Test of English as a Foreign Language is iBT:  ,  0 to 30 (in 1 point increments) on each of the 4 sections. So total of 0 to 120.  ,  PBT:  ,  Listening: 31 to 68, Structure: 31 to 69, Reading: 31 to 67. Total of 310 to 677. Writing (separate): 0 to 6. (All in 1 point increments.).   	The standardized Test of English as a Foreign Language (TOEFL) is a globally recognized method of proficiency language establishing.	2
8155	T2151	GW74	   The source model of Linux is Open source.  Linux was initial release on September 17, 1991; 28 years ago (1991-09-17).  The marketing target of Linux is Cloud computing, embedded devices, mainframe computers, mobile devices, personal computers, servers, supercomputers.  The available in of Linux is Multilingual.   	Linux was multilingual in available in 1991	1
8149	T2150	GW74	   The storage of LG Optimus G is 16 & 32 GB.  The operating system of LG Optimus G is Android 4.0 Ice Cream Sandwich  , 4.1.2 Jelly Bean  , 4.4.2 KitKat.  The system on chip of LG Optimus G is Qualcomm Snapdragon S4 Pro APQ8064 , 1.4 GHz quad-core Samsung Exynos.  The connectivity of LG Optimus G is 3.5 mm stereo audio jack , Wi-Fi 802.11 a/b/g/n, Wi-Fi Hotspot, DLNA , Bluetooth 4.0 + A2DP , micro-USB 2.0 (5-pin) port with mobile high-definition video link (MHL) for USB or HDMI connection.   	LG Optimus G than run on Android 4.0 Ice Cream Sandwich storage 16 GB of have.	1
7933	T2126	GW106	   Graduate Management Admission Test was score / grade validity on 5 Years.  The score / grade range of Graduate Management Admission Test is Quantitative section: 6-51, in 1 point increments,  ,  Verbal section: 6-51, in 1 point increments,  ,  Integrated reasoning section: 1 to 8, in 1 point increments,  ,  Analytical writing assessment: 0.0 to 6.0, in 0.5 point increments.  ,  Total score (from verbal and quantitative sections only): 200 to 800..  The prerequisites / eligibility criteria of Graduate Management Admission Test is No official prerequisite. Intended for those interested in graduate management education. Fluency in English assumed..  The scores / grades used by of Graduate Management Admission Test is More than 7,000 programs at approximately 2,300 graduate business schools around the world accept the GMAT exam..   	English majors grouping for the highest accounted of perfect scores on the GMAT exam.	1
7918	T2124	GW28	   The type of Good Friday is Christian.  The significance of Good Friday is Commemorates the crucifixion and death of Jesus Christ.  The related to of Good Friday is Passover, Christmas (which celebrates the birth of Jesus), Septuagesima, Quinquagesima, Shrove Tuesday, Ash Wednesday, Lent, Palm Sunday, Spy Wednesday, Maundy Thursday, and Holy Saturday which lead up to Easter,  Easter Sunday  (primarily), Divine Mercy Sunday, Ascension, Pentecost, Whit Monday, Trinity Sunday, Corpus Christi and Feast of the Sacred Heart which follow it. It is related to the Feast of the Exaltation of the Holy Cross, which focuses on the benefits, graces, and merits of the Cross, rather than Jesus's death..   Good Friday was date on The Friday immediately preceding Easter Sunday.   	Good Friday is the time holiest of year for Christians.	1
7903	T2123	GW28	   The prognosis of Giant-cell arteritis is Life expectancy (typically normal).  The symptoms of Giant-cell arteritis is Headache, pain over the temples, flu-like symptoms, double vision, difficulty opening the mouth.  The causes of Giant-cell arteritis is Inflammation of the small blood vessels within the walls of larger arteries.  The diagnostic method of Giant-cell arteritis is Based on symptoms and blood tests, confirmed by biopsy of the temporal artery.   	Giant-cell inflammation makes the face flush red due to arteritis.	1
7891	T2121	GW74	   The developer / administrator of General Examination for Women is University of London.  General Examination for Women was year started on 1869 (admission 1868).  General Examination for Women was year terminated on 1878.  The languages of General Examination for Women is English.    	University of London was the university only with a General Examination for Women in 1869	1
19002	T1633	GW40	 The university of Jon Jones is Iowa Central Community College.  The notable relatives of Jon Jones are Arthur Jones (brother), Chandler Jones (brother).  The notable school(s) of Jon Jones is Union-Endicott High School.  The website of Jon Jones is www .jonnybones .com.  	Jon Jones went to the Iowa Central Community College graduated he where.	1
18663	T1559	GW68	 The spouse(s) of Josephine Baker are Willie Wells ( m.  1919;  div.  1919), William Baker ( m.  1921;  div.  1925), Jean Lion ( m.  1937-1940), Jo Bouillon ( m.  1947;  div.  1961).  The partner(s) of Josephine Baker is Robert Brady  (1973-75).  The number of children of Josephine Baker are adopted 12 children; informal Jean-Claude Baker.  Josephine Baker was born on 3 June 1906  St. Louis, Missouri, U.S.. 	She children three adopted with her husband Jean Lion.	1
18666	T1560	GW84	 The organization of John Ernst Worrell Keely is Keely Motor Company.  The notable work of John Ernst Worrell Keely is Keely engine.  The occupation of John Ernst Worrell Keely is Inventor.  John Ernst Worrell Keely is a person. 	The Keely engine was the only engine that John Ernst Worrell Keely invented ever.	1
7888	T2121	GW28	   The developer / administrator of General Examination for Women is University of London.  The knowledge / skills tested of General Examination for Women is Humanities and sciences.  The purpose of General Examination for Women is Degree level qualification for women.  General Examination for Women was year started on 1869 (admission 1868).   	General Examination for Women was necessary for women who wished to pursue an career academic.	1
7894	T2122	GW28	   The daily traffic of George Washington Bridge is 289,827 (2016).  George Washington Bridge was toll on (Eastbound only) As of August 29, 2019: Cars $15.00 (cash), $12.50 for Peak (E-ZPass), $10.50 for Off-peak (E-ZPass), $6.50 (when carpooling with three or more people with NY and NJ E-ZPass only), $6.25 (New York or New Jersey issued E-ZPass with registered commuter plan and three or more trips into Staten Island, NY during a calendar month), (Peak hours: Weekdays: 6-10 a.m., 4-8 p.m.; Sat. & Sun.: 11 a.m.-9 p.m.), These toll rates:  view, talk, edit.   The longest span of George Washington Bridge is 3,500 ft (1,067 m).  The locale of George Washington Bridge is Fort Lee, New Jersey, and New York City  (Washington Heights, Manhattan) , New York, United States.   	The George Washington Bridge is the bridge busiest in the world.	1
8152	T2150	GW52	"   The slogan of LG Optimus G is "" Live without boundaries "".  The series of LG Optimus G is Optimus  , G series.  The removable storage of LG Optimus G is Not available in the Global models , microSD up to 64GB AT&T & Japan & Taiwan.  The front camera of LG Optimus G is 1.3 MP, HD video recording (720p).   "	The LG Optimus G produced to be continues to this day.	1
8146	T2150	GW28	   The removable storage of LG Optimus G is Not available in the Global models , microSD up to 64GB AT&T & Japan & Taiwan.  The compatible networks of LG Optimus G is GSM (850 / 900 / 1800 / 1900), HSDPA, CDMA (Global 800 / 850 / 1900 & South Korea LG U+ Korean Pcs 1800), LTE.  The series of LG Optimus G is Optimus  , G series.  The battery of LG Optimus G is Non-Removable  Li-ion 2100 mAh(U.S & Canada & South Korea & Global Variant) Removable Li-ion 2210 mah (Japan Variant) , Removable Li-ion 2280 mAh (Taiwan Variant).   	LG Optimus G was a for bestseller LG.	1
18660	T1559	GW14	 The number of children of Josephine Baker are adopted 12 children; informal Jean-Claude Baker.  The genres of Josephine Baker are Cabaret, music hall, French pop, French jazz.  The labels of Josephine Baker are Columbia, Mercury, RCA Victor.   The nationality of Josephine Baker are American (renounced), French (from 1937). 	Columbia Records more released Josephine Baker music than did Mercury.	1
19005	T1633	GW0	 The university of Jon Jones is Iowa Central Community College.  The notable relatives of Jon Jones are Arthur Jones (brother), Chandler Jones (brother).  The notable school(s) of Jon Jones is Union-Endicott High School.  The website of Jon Jones is www .jonnybones .com.  	Jon Jones siblings has two only.	1
7936	T2126	GW28	   Graduate Management Admission Test was score / grade validity on 5 Years.  The knowledge / skills tested of Graduate Management Admission Test is Quantitative reasoning, verbal reasoning, integrated reasoning, analytical writing..  The scores / grades used by of Graduate Management Admission Test is More than 7,000 programs at approximately 2,300 graduate business schools around the world accept the GMAT exam..  The score / grade range of Graduate Management Admission Test is Quantitative section: 6-51, in 1 point increments,  ,  Verbal section: 6-51, in 1 point increments,  ,  Integrated reasoning section: 1 to 8, in 1 point increments,  ,  Analytical writing assessment: 0.0 to 6.0, in 0.5 point increments.  ,  Total score (from verbal and quantitative sections only): 200 to 800..   	Graduate Management Admission Test is cheat-proof and fraud.	1
18262	T1448	GW87	 Jessica Biel was born on  March 3, 1982  (age 36)   Ely, Minnesota, U.S..  The birth name of Jessica Biel is Jessica Claire Biel.  The education of Jessica Biel is Fairview High School.  The spouse(s) of Jessica Biel is Justin Timberlake ( m.   2012 ). 	Jessica Biel has a marriage happy with Justin Timberlake.	1
8167	T2152	GW12	   The flight origin of Lion Air Flight 610 is Soekarno-Hatta International Airport  , Jakarta, Indonesia.  The aircraft type of Lion Air Flight 610 is Boeing 737 MAX 8.  The iata flight no. of Lion Air Flight 610 is JT610.  The icao flight no. of Lion Air Flight 610 is LNI610.   	The IATA number and the ICAO number for Lion Air Flight 610 are the same.	1
8164	T2152	GW1	   The summary of Lion Air Flight 610 is Crashed shortly after take-off; under investigation.  The crew of Lion Air Flight 610 is 8.  The fatalities of Lion Air Flight 610 is 189 + 1 rescue diver.  The survivors of Lion Air Flight 610 is 0.    	The only diver rescue for Lion Air Flight 610 died.	1
7693	T2099	GW19	   The platforms of Debian is x86-64, arm64, armel, armhf, i386, mips, mipsel, mips64el, ppc64el, s390x, riscv64 (in progress).  The source model of Debian is Open source.  The latest release of Debian is 10.1 (Buster)  (September 7, 2019; 47 days ago (2019-09-07))   [±].  The available in of Debian is 75 languages.   	Version 10.1 of Deiban, an open source Linux operating system, offers Hindi support language.	1
7849	T2117	GW1	   The tracks of Main Street Subway Station (Dual System IRT) is 3.  Main Street Subway Station (Dual System IRT) was opened on January 21, 1928; 91 years ago (1928-01-21).  The coordinates of Main Street Subway Station (Dual System IRT) is 40°45′34.28″N 73°49′49.14″W﻿ / ﻿40.7595222°N 73.8303167°W﻿ / 40.7595222; -73.8303167Coordinates: 40°45′34.28″N 73°49′49.14″W﻿ / ﻿40.7595222°N 73.8303167°W﻿ / 40.7595222; -73.8303167.  The platforms of Main Street Subway Station (Dual System IRT) is 2 island platforms.   	The Main Street Subway Station (Dual System IRT) always had 2 platforms island.	1
18687	T1563	GW31	 The publisher of John Carter, Warlord of Mars is Marvel Comics.  The genre of John Carter, Warlord of Mars is Science fiction.  The publication date of John Carter, Warlord of Mars was on June 1977 - October 1979.  The production company of John Carter, Warlord of Mars is 28 + 3 annuals.  	John Carter is a male planet on the warlord Mars.	1
8080	T2142	GW12	   The symptoms of Jaundice is Yellowish coloration of skin and whites of the eyes, itchiness.  The causes of Jaundice is High bilirubin levels.  The diagnostic method of Jaundice is Blood bilirubin, liver panel.  The treatment of Jaundice is Based on the underlying cause.    	The skin and whites of the eyes turn yellow when an jaundice has individual.	1
7771	T2108	GW106	   The line length of Emirates Air Line is 1,100 m (3,600 ft).  The operating speed of Emirates Air Line is 6 m/s.  The ridership of Emirates Air Line is 1,314,783 (in 2018).  Emirates Air Line was opened on 28 June 2012; 7 years ago (2012-06-28).   	The Emirates Air Line is capable of speeds up to 12 m/s, though it only operates officially at 6 m/s.	1
7828	T2114	GW4	   The observed by of Fast of Esther is Jews in Judaism.  The type of Fast of Esther is Jewish.  Fast of Esther was significance on Commemorating the three-day fast observed by the Jewish people in the story of Purim.  Fast of Esther was begins on 13th day of Adar at dawn (if Shabbat, then 11th day of Adar at dawn).   	Every Jewish observes person the Fast of Esther.	1
18822	T1595	GW85	 The associated acts of John Frusciante are Red Hot Chili Peppers, Ataxia, Josh Klinghoffer, the Mars Volta, Omar Rodriguez-Lopez, Wu-Tang Clan, Black Knights, Venetian Snares, Duran Duran, Johnny Marr, Warpaint.  The birth name of John Frusciante is John Anthony Frusciante.  John Frusciante was born on ( 1970-03-05 )  March 5, 1970  (age 48)  Queens, New York City, United States.  The labels of John Frusciante are Warner Bros.,, Record Collection, Birdman, American Recordings, Funk Soul Recordings, Neurotic Yell Records, Acid Test. 	John Anthony Frusciante was not in any movies big really.	1
8011	T2135	GW86	   The brand of Huawei Ascend G300 is Huawei.  The compatible networks of Huawei Ascend G300 is GSM / GPRS / EDGE  850/900/1800/1900  ,   HSPA 900/2100  ,  HSDPA  7.2 Mbps  ,   HSUPA  5.76 Mbps.  Huawei Ascend G300 was first released on October 2012 (2012-10).  The operating system of Huawei Ascend G300 is Android  4.0.4.   	The Huawei Ascend G300 is manufactured currently.	1
7774	T2108	GW74	   The line length of Emirates Air Line is 1,100 m (3,600 ft).  The locale of Emirates Air Line is Greenwich/Docklands, London, United Kingdom.  The termini of Emirates Air Line is Emirates Greenwich Peninsula (west) , Emirates Royal Docks (east).  The highest elevation of Emirates Air Line is 90 m (300 ft).    	The reaches gondola 300 ft halfway between Emirates Greenwich Peninsula and Emirates Royal Docks	1
8077	T2142	GW28	   The symptoms of Jaundice is Yellowish coloration of skin and whites of the eyes, itchiness.  The causes of Jaundice is High bilirubin levels.  The differential diagnosis of Jaundice is Carotenemia, taking rifampin.  The treatment of Jaundice is Based on the underlying cause.    	Jaundice is fatal sometimes.	1
7777	T2109	GW28	   The prognosis of Epilepsy is Controllable in 70%.  The symptoms of Epilepsy is Periods of vigorous shaking, nearly undetectable spells.  The differential diagnosis of Epilepsy is Fainting, alcohol withdrawal, electrolyte problems.  The treatment of Epilepsy is Medication, surgery, neurostimulation, dietary changes.   	Epilepsy is a condition manageable with a healthy diet and meditation.	1
8017	T2135	GW38	   The slogan of Huawei Ascend G300 is Why pay first class for first class?.  The compatible networks of Huawei Ascend G300 is GSM / GPRS / EDGE  850/900/1800/1900  ,   HSPA 900/2100  ,  HSDPA  7.2 Mbps  ,   HSUPA  5.76 Mbps.  Huawei Ascend G300 was first released on October 2012 (2012-10).  The type of Huawei Ascend G300 is Smartphone.   	The Huawei Ascend G300 is the smartphone fastest made by Huawei	1
8008	T2134	GW4	"   The removable storage of HTC Dream is Up to 16 GB microSD.  The form factor of HTC Dream is Slider smartphone.  The connectivity of HTC Dream are Wi-Fi (802.11b/g), Bluetooth 2.0+EDR, ExtUSB, A-GPS, Quad-band GSM 850 900 1800 1900 MHz GPRS/EDGE, Dual band UMTS 1700 2100 MHz HSDPA/HSUPA (US/Europe) (7.2/2 Mbit/s).   The operating system of HTC Dream is Original:  Android m3-rc22a (internal) , Android 1.0 (consumer) ,   Current:  Android 1.6 ""Donut"".   "	A HTC Dream was iPhone to copy an designed.	1
8083	T2143	GW1	   The countries / regions of Joint Entrance Examination – Main is India.  The developer / administrator of Joint Entrance Examination – Main is National Testing Agency.  The knowledge / skills tested of Joint Entrance Examination – Main are Paper 1: Physics, Chemistry and Mathematics, Paper 2:Mathematics, Aptitude, Drawing and Planning.  The purpose of Joint Entrance Examination – Main is Admission to undergraduate Engineering and architecture courses in 31 NITs, 20 IIITs and other colleges. Also serves as a prelim selection for JEE Advanced.   	The National Testing Agency administers only the Joint Entrance Examination.	1
18459	T1509	GW1	 The associated acts of Jessica Simpson is Nick Lachey.  The spouse(s) of Jessica Simpson are Nick Lachey ( m.  2002;  div.  2006), Eric Johnson  ( m.  2014).  The relatives of Jessica Simpson is Ashlee Simpson (sister).  The television of Jessica Simpson is Newlyweds: Nick and Jessica. 	Both of Jessica Simpson's children have Nick Lachey as a father biological.	1
10600	T1767	GW74	 The in office of Hillary Clinton was on January 21, 2009 – February 1, 2013.  The president of Hillary Clinton is Barack Obama.  The deputy of Hillary Clinton are John Negroponte, James Steinberg, William Joseph Burns.  The preceded by of Hillary Clinton is Condoleezza Rice. 	Condoleezza Rice office in served in February 2009.	0
6523	T1063	GW28	 The synonym(s) of Chess960 is Fischer Random Chess (FRC)  , FR Chess  , Fischerandom  , New Chess.   The setup time of Chess960 is ~1 min + 1 min to determine starting position.  The number of playing time of Chess960 are Casual games: 10-60 min , Tournament games: from 10 min (fast chess) to &gt;6 h.  The random chance of Chess960 is None. 	Chess960 is based entirely on luck.	0
6583	T1070	GW51	 The declaration of independence was on 1 November 1991.  The dissolution of the ussr was on 26 December 1991.  The first chechen war was on 11 December 1994.  The second chechen war was on 1 May 2000.  	The Chechen Republic of Ichkeria never had war with the former USSR after it independence declared.	0
10579	T1764	GW2	 Innervisions is a album.  The studio of Innervisions are The Record Plant   (Los Angeles, California), Media Sound Studios   (New York City, New York).  The genre of Innervisions are Soul, funk, rock, jazz.  The producer of Innervisions are Stevie Wonder, Robert Margouleff (assoc), Malcolm Cecil (assoc).  	Innervisions is an hour long hard album rock.	0
9466	T1509	GW31	 Jessica Simpson was born on July 10, 1980  (age 38)   Abilene, Texas, U.S..  The partner(s) of Jessica Simpson is Tony Romo (2007-2009).  The residence of Jessica Simpson is Los Angeles, California, U.S..  The spouse(s) of Jessica Simpson are Nick Lachey ( m.  2002;  div.  2006), Eric Johnson  ( m.  2014). 	Jessica Simpson was 1978 in Los Angeles, California on July 11 born.	0
6520	T1063	GW59	 The synonym(s) of Chess960 is Fischer Random Chess (FRC)  , FR Chess  , Fischerandom  , New Chess.   The genre(s) of Chess960 is Board game  , Chess variant.  The number of playing time of Chess960 are Casual games: 10-60 min , Tournament games: from 10 min (fast chess) to &gt;6 h.  The random chance of Chess960 is None. 	There is a lot of random chance winning in involved a game of Chess960.	0
15094	T2558	GW115	 In the box office, Sin City: A Dame to Kill For made $39.4 million.   Sin City: A Dame to Kill For was produced by Robert Rodriguez, Boriss Teterevs, Aaron Kaufman, Stephen L'Heureux, Sergei Bespalov, Alexander Rodnyansky, Mark Manuel.  The release date of Sin City: A Dame to Kill For are August 19, 2014 (2014-08-19) (TCL Chinese Theatre), August 22, 2014 (2014-08-22) (United States).  The budget of Sin City: A Dame to Kill For is $65 million. 	A Dame to Kill For box collection office was less than 10 million	0
6403	T1048	GW28	 The year of Boulevard des Capucines is 1873-74.  The medium of Boulevard des Capucines is Oil on canvas.  The dimensions of Boulevard des Capucines is 80.3 cm   60.3 cm (31.6 in   23.75 in).  The location of Boulevard des Capucines is Nelson-Atkins Museum of Art, Kansas City, Missouri.  	Boulevard des Capucines is as tall and as wide as a adult normal male.	0
