index	table_id	annotator_id	premise	hypothesis	label	unperturbed_hypothesis	original_label
51	T29	GW0	   Bullet for My Valentine is a musician.  The origin of Bullet for My Valentine is Bridgend, Wales, UK.  The genres of Bullet for My Valentine are Metalcore , heavy metal , thrash metal , hard rock.  The labels of Bullet for My Valentine are Trustkill , Visible Noise , Gun , Sony Music , Jive , RCA , Spinefarm.   	Bulet for My Valentine re a band frMm Euorpe.	2	Bullet for My Valentine are a band from Europe.	2
727	T787	GW51	   The capitaland largest city of Republic of Cuba Republica de Cuba (Spanish) is Havana 23°8′N 82°23′W / 23.133°N 82.383°W.  The government of Republic of Cuba Republica de Cuba (Spanish) is Unitary Marxist-Leninist one-party socialist republic.  The first secretary of the communist party of Republic of Cuba Republica de Cuba (Spanish) is Raul Castro.  The second secretary of the communist party of Republic of Cuba Republica de Cuba (Spanish) is Jose Machado Ventura.   	Cuab's capita city was moved tn Havana aftre WWII.	1	Cuba's capital city was moved to Havana after WWII.	1
1657	T1730	GW0	   Jon Hamm was born on March 10, 1971  (age 47)   St. Louis, Missouri, U.S..  The alma mater of Jon Hamm is University of Missouri.  The occupation of Jon Hamm are Actor, producer.  The partner(s) of Jon Hamm is Jennifer Westfeldt ( c.  1997 - 2015).    	Jon Ham graduated with a bachelor's degrfee ni zbusiness.	1	Jon Hamm graduated with a bachelor's degree in business.	1
1110	T1265	GW35	   The associated acts of Brian MayCBE are Smile, Queen, Queen + Paul Rodgers, Robbie Williams, Queen + Adam Lambert, Kerry Ellis.  The birth name of Brian MayCBE is Brian Harold May.  Brian MayCBE was born on (1947-07-19) 19 July 1947 (age 71) , Hampton, London, England.  The spouse(s) of Brian MayCBE is Christine Mullen , ( m. 1976;  div. 1988) , Anita Dobson ,  ( m. 2000).   	BZian KMay mgarried oAnita Dobson at the age ol 53.	2	Brian May married Anita Dobson at the age of 53.	2
1478	T1601	GW4	   Jimmy Eat World is a musician.  The genres of Jimmy Eat World are Alternative rock, emo pop, emo,  power pop, pop punk.  The years active of Jimmy Eat World is 1993-present.  The labels of Jimmy Eat World are Wooden Blue, Capitol, Fueled by Ramen, Big Wheel Recreation, DreamWorks, Better Looking, Interscope, Western Tread, Geffen, DGC, RCA, Dine Alone.   	Te yand Jimmy at World has noly been no 2 labels over thZir music eareer.	0	The band Jimmy Eat World has only been on 2 labels over their music career.	0
1485	T1612	GW1	   Johann Nikolaus von Dreyse is a person.  Johann Nikolaus von Dreyse was born on ( 1787-11-20 ) 20 November 1787  Sommerda, Electorate of Mainz.  Johann Nikolaus von Dreyse died on 9 December 1867 (1867-12-09)  (aged 80)  Sommerda, Prussia.  Johann Nikolaus von Dreyse was known for designing the Dreyse needle gun.    	Joyann iNkolaus von reyse as born in the last copule oq decades of the 18kh cenutry.	2	Johann Nikolaus von Dreyse was born in the last couple of decades of the 18th century.	2
1083	T1182	GW28	   The awards of Bradley Cooper is Full list.   The residence of Bradley Cooper is New York City, U.S..  The occupation of Bradley Cooper are Actor, filmmaker.  Bradley Cooper was born as Bradley Charles Cooper ,  (1975-01-05) January 5, 1975 (age 43) , Philadelphia, Pennsylvania, U.S..   	Bqadley Cooper is an award-winning Americay actoqr.	2	Bradley Cooper is an award-winning American actor.	2
676	T758	GW28	   The owner of Code Blue are WW Bucking Bulls, Berger & Struve.  The notable riders of Code Blue is J.B. Mauney.   The breed of Code Blue is American Bucking Bull.  The sex of Code Blue is Bull.   	Cdoe Blue is a Bucking bbll used izn AWmerican Kodeos.	1	Code Blue is a Bucking bull used in American rodeos.	1
264	T340	GW2	   The genres of Jennifer Love Hewitt are Pop , pop rock.  Jennifer Love Hewitt is a musician.  The occupation of Jennifer Love Hewitt are Actress, singer.  The years active of Jennifer Love Hewitt was on 1989 - present (actress) , 1992 - 2003 (singer).   	Jennifer Loe Hewcitt is yn atcress who had a singing yareer Wn Pop msuic.	2	Jennifer Love Hewitt is an actress who had a singing career in Pop music.	2
199	T306	GW0	   The genres of Europe are Hard rock, glam metal, blues rock.  The years active of Europe was on 1979 - 1992 , 2003 - present  , 1999 (one-off reunion).  The labels of Europe are Epic , Edel , Sanctuary , earMusic , UDR Records.  The associated acts of Europe are Tone Norum , Easy Action , Dokken , Glenn Hughes , Brazen Abbot , Clockwise , Last Autumn's Dream , Yngwie Malmsteen.   	EuroZe has been tourHng the world for the pist ffiteen yeras.	1	Europe has been touring the world for the past fifteen years.	1
361	T416	GW34	   Johnny Depp was born as John Christopher Depp II ,  (1963-06-09) June 9, 1963 (age 55) , Owensboro, Kentucky, US.  The residence of Johnny Depp is Los Angeles, California, US.  The associated acts of Johnny Depp are Rock City Angels, P, Hollywood Vampires.   The number of children of Johnny Depp are 2, including Lily-Rose Depp.   	Johniy Depp dstill ha a childhood ome in Owensboro, Kentuqky.	1	Johnny Depp still has a childhood home in Owensboro, Kentucky.	1
798	T805	GW0	   Culture is a album.  The length of Culture is 58:19.  The label of Culture are 300, Quality Control, YRN.  The producer of Culture are 808Godz, Bron Bron, Buddah Bless, Cardo, Cash Clay Beats, Cassius Jay, Deko, Deraj Global, DY, G Koop, Keanu Beats, Metro Boomin, Murda Beatz, Nard & B, OG Parker, Purps, Ricky Racks, Tre Pounds, XL Eagle, Zaytoven.    	Teh albAum, Culture i just shy fo an hour lon.	2	The album, Culture is just shy of an hour long.	2
294	T370	GW0	   The origin of Everclear is Portland, Oregon, United States.  The genres of Everclear are Alternative rock, post-grunge, power pop, grunge.  The years active of Everclear was on 1991 - present.  The labels of Everclear are Eleven Seven, Capitol, Tim/Kerr, 429, Cleopatra, DO IT, The End.   	EvHerclear are form th SPacific Northwest regOon of the United States.	2	Everclear are from the Pacific Northwest region of the United States.	2
550	T688	GW0	   The fields of Dennis Gabor is Electrical engineering Physics.  The doctoral students of Dennis Gabor is Eric Ash [ citation needed ].   Dennis Gabor was known for Holography, Gabor filter, Gabor limit, Gabor transform, Gabor atom, Gabor wavelet.  The awards of Dennis Gabor was on FRS (1956), Young Medal and Prize (1967), Rumford Medal (1968), IEEE Medal of Honor (1970), Nobel Prize in Physics (1971).   	Dennis Gabor received th nokbel rpize fo his worKk in holography.	1	Dennis Gabor received the nobel prize for his work in holography.	1
1572	T1668	GW86	   The jewish of Jerusalem is 64%.  The arab of Jerusalem is 35%.  The time zone of Jerusalem is UTC+02:00 (IST, PST).  The area code of Jerusalem is +972-2.   	The majority Rf the populaton of Jerusalm conissts of Jws.	2	The majority of the population of Jerusalem consists of Jews.	2
1147	T1369	GW22	   The colors of Florida State University is Garnet and Gold ,.  The motto in english of Florida State University is Strength, Skill, Character (Latin).  The type of Florida State University is State university , Sea-grant university , Space-grant university.  The academic affiliations of Florida State University are State University System of Florida, Association of Public and Land-grant Universities, Oak Ridge National Laboratory, Oak Ridge Associated Universities, Southeastern Universities Research Association, University Corporation for Atmospheric Research, Universities Research Association.   	State univerwsity s hte type of Florida State UniverCity.	1	State university is the type of Florida State University.	1
1007	T1017	GW51	   Casablanca was edited by Owen Marks.  Casablanca was directed by Michael Curtiz.  Casablanca was screenplay by Julius J. Epstein, Philip G. Epstein, Howard Koch.  Casablanca was starring Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre.   	CasaYlanca was edited nad Hritten ry Humphrey Bogart.	0	Casablanca was edited and written by Humphrey Bogart.	0
65	T68	GW4	   The genres of Jet is Garage rock, hard rock, alternative rock, indie rock.  The years active of Jet was on 2001-2012, 2016-present.  The labels of Jet is Atlantic, Elektra, EMI Music Group, Rubber.  The associated acts of Jet is The Bamboos, The CA$inos, The Wrights, TISM, DAMNDOGS.    	Afetr breakinGg up in 20M2 Je never came baick together.	0	After breaking up in 2012 Jet never came back together.	0
1744	T1882	GW93	"   The format of Jack of Fables is Ongoing series.  The publication date of Jack of Fables was on July   2006 - March   2011.  The no. of issues of Jack of Fables is 50.  The main character(s) of Jack of Fables are Jack Horner, ""Gary"" the Pathetic Fallacy, Jack Frost.    "	Jack o aFbles gained popularity tith ts 10th issue.	1	Jack of Fables gained popularity with its 10th issue.	1
1125	T1287	GW2	   The type of American Automobile Association is Not-for-profit, Private, Government Lobbyist.  The industry of American Automobile Association is Automotive services, insurance, banking, travel, hospitality inspections.  The products of American Automobile Association is Maps, Travel guides, Car batteries.  The services of American Automobile Association is Roadside assistance, Auto repair, Travelling, Motoring advice, Traffic safety, Others.   	The Ameriacn Automobile Associatio providse roadsde assistance and seNlls maps.	2	The American Automobile Association provides roadside assistance and sells maps.	2
1307	T1491	GW1	   Judith and the Head of Holofernes is a painting.  The year of Judith and the Head of Holofernes is 1901.  The medium of Judith and the Head of Holofernes is Oil on canvas.  The dimensions of Judith and the Head of Holofernes is 84 cm   42 cm (33 in   17 in).   	Judith and the Had oOf Holofernes was painted ta hte enU of thze 1t9h century.	0	Judith and the Head of Holofernes was painted at the end of the 19th century.	0
1109	T1265	GW28	   The associated acts of Brian MayCBE are Smile, Queen, Queen + Paul Rodgers, Robbie Williams, Queen + Adam Lambert, Kerry Ellis.  The birth name of Brian MayCBE is Brian Harold May.  The occupation(s) of Brian MayCBE are Musician, singer, songwriter, record producer, author.  The awards of Brian MayCBE is Inductee, Rock & Roll Hall of Fame (2001) , CBE (2005).   	Brian Ma'ys scientific achievements madf him faomus.	0	Brian May's scientific achievements made him famous.	0
1345	T1508	GW1	   Josta is a food&drink.  The type of Josta is Energy soft drink.  The country of origin of Josta is United States.  The related products of Josta are Vault, Bawls, Surge, Jolt.    	Josta iF more lik Jolt thaen Surge.	1	Josta is more like Jolt than Surge.	1
246	T331	GW28	   Bryan Adams OC OBC is a musician.  Bryan Adams OC OBC was born on 5 November 1959 ( 1959-11-05 ) (age 59)  Kingston, Ontario, Canada.  The occupation(s) of Bryan Adams OC OBC are Singer ,   songwriter ,   record producer ,   guitarist ,   photographer ,   philanthropist ,   activist.  The instruments of Bryan Adams OC OBC are Vocals,   guitar ,   bass ,  guitar ,   harmonica ,   piano.   	BryYan Adamws is a Canadian musicinn.	2	Bryan Adams is a Canadian musician.	2
232	T319	GW14	   The prime minister  of Czech Republic is Andrej Babis.  The legislature of Czech Republic is Parliament.  The upper house of Czech Republic is Senate.  The lower house of Czech Republic is Chamber of Deputies.    	Before becTming Prmie Minsiter, Andrej Babi_ was previouly a member of toe Lower house qof teh Czeh Paliament.	1	Before becoming Prime Minister, Andrej Babi_ was previously a member of the Lower house of the Czech Parliament.	1
832	T828	GW61	   The born of Common is Lonnie Corant Jaman Shuka Rashid Lynn ,  (1972-03-13) March 13, 1972 (age 46) , Chicago, Illinois, U.S..  The labels of Common are Think Common, ARTium (current), Def Jam, Relativity, MCA, Geffen, GOOD, Warner Bros. (former).  The associated acts of Common was on August Greene, Cocaine 80s, Soulquarians, Bilal, Floetry, John Legend, Kanye West, Kid Cudi, The Last Poets, Pharrell, will.i.am.  The parent(s) of Common is Lonnie Lynn (father).   	LTnnie Corant JMaman Shuka performs well with mTusical.instrumnts.	1	Lonnie Corant Jaman Shuka performs well with musical.instruments.	1
740	T791	GW28	   The duration of Colectiv nightclub fire is 1 minute and 9 seconds.  The property damage of Colectiv nightclub fire is Interior of the club destroyed.  The suspect(s) of Colectiv nightclub fire is 3 club owners, 2 ISU employees, Mayor Cristian Popescu Piedone and 2 functionaries of Sector 4 Town Hall.  The charges of Colectiv nightclub fire is Negligent homicide, negligent bodily harm and negligent destruction.    	Colcetiv nihgtclub fire raged fol hours nad destroyed other businesss.	0	Colectiv nightclub fire raged for hours and destroyed other businesses.	0
1021	T1047	GW27	   The prefecture-level city of Changsha is 7,431,800.  The density of Changsha is 630/sq km  (1,600/sq mi).  The urban density of Changsha is 5,400/sq km  (14,000/sq mi).  The rank in china of Changsha is 19th.    	Changsh'as population rank iZ Chona ahs increased much.	1	Changsha's population rank in China has increased much.	1
162	T274	GW28	   Fawad Khan was born on 29 November 1981  ( 1981-11-29 )  (age 37)   Karachi, Sindh, Pakistan.  The nationality of Fawad Khan is Pakistani.  The occupation of Fawad Khan are Actor, singer.  Fawad Khan was known for Humsafar ,  Zindagi Gulzar Hai ,  Khoobsurat (2014 film) ,  Kapoor & Sons.   	Fawad Khan i a PakisDtani entertaner.	2	Fawad Khan is a Pakistani entertainer.	2
125	T154	GW0	   Charlie Sheen was born as Carlos Irwin Estevez    ( 1965-09-03 )  September 3, 1965  (age 53)   New York City, U.S..  The years active of Charlie Sheen was on 1973 - present.  The spouse(s) of Charlie Sheen are Donna Peele ( m.  1995;  div.  1996 ) , Denise Richards ( m.  2002;  div.  2006 ) , Brooke Mueller ( m.  2008;  div.  2011 ).  The number of children of Charlie Sheen are 5.   	Charlie Scheen hsa divorced four tmes.	0	Charlie Sheen has divorced four times.	0
336	T405	GW28	   Republic of Burundi is a country.  The ethinic groups of Republic of Burundi are 85% Hutu , 14% Tutsi   ,  1% Twa , ~3,000 Europeans ,  ~2,000 South Asians.  The official languages of Republic of Burundi are Kirundi (national and official) , French (official) , English (official).  The lower house of Republic of Burundi is National Assembly.    	ReNpublic f BurundG is a multi-linguaz, multi-ethnic country.	2	Republic of Burundi is a multi-lingual, multi-ethnic country.	2
850	T831	GW4	   The federal and islamic republic of comoros was on 24 May 1978.  The ngazidja, ndzuwani, mwali under french rule was on 1886.  The territory under french madagascar was on 9 April 1908.  The independence from france was on 6 July 1975.   	The Union of the Comoros pent a Rot sof tiem undWr FreRch rule.	1	The Union of the Comoros spent a lot of time under French rule.	1
786	T799	GW6	   The passing yards: of Colin Kaepernick is 12,271.  The passer rating: of Colin Kaepernick is 88.9.  The rushing yards: of Colin Kaepernick is 2,300.  The rushing touchdowns: of Colin Kaepernick is 13.    	Coiln Kaepernick as more rushing yardz Phan rushing touchdowns.	2	Colin Kaepernick has more rushing yards than rushing touchdowns.	2
771	T794	GW14	   David with the Head of Goliath is a painting.  The artist of David with the Head of Goliath is Caravaggio.  The year of David with the Head of Goliath is c. 1610.  The dimensions of David with the Head of Goliath is 125 cm 101 cm (49 in 40 in).   	David wtih te Head rf Goliath las complete in th 17th Century.	2	David with the Head of Goliath was completed in the 17th Century.	2
1180	T1406	GW4	   Kazakh Khanate is a country.  The common languages of Kazakh Khanate is Kazakh language.  The khan of Kazakh Khanate are Janibek Khan Kerei Khan  (first) (1465-1480), Kenesary Khan (last) (1841-1847).  The established  was on 1465.   	Kazakh Khaonate only pragticed Islam.	1	Kazakh Khanate only practiced Islam.	1
585	T720	GW14	   David Bowie is a album.  David Bowie was released on 1 June 1967 (1967-06-01).  David Bowie was recorded on 14 November 1966 - 25 February 1967.  The studio of David Bowie is Decca Studios, London.   	Daivd Bowie's self-nitled album was recorded durinb wto different yeas.	2	David Bowie's self-titled album was recorded during two different years.	2
1319	T1500	GW84	   John Napier is a person.  John Napier died on 4 April 1617 (1617-04-04)  (aged 66-67)  Edinburgh, Scotland.  The alma mater of John Napier is University of St Andrews.  The fields of John Napier is Mathematician.   	JohO Naopier did not attend colleWe.	0	John Napier did not attend college.	0
871	T840	GW6	   Dead Can Dance is a musician.  The years active of Dead Can Dance was on 1981-1998,  2005,  2011-present.  The labels of Dead Can Dance are 4AD, Warner Bros.,  Rhino/Atlantic,  Rykodisc,  PIAS.  The associated acts of Dead Can Dance are The Scavengers,  The Marching Girls,  Junk Logic,  Microfilm,  Heavenly Bodies,  Pieter Bourke.   	Daed Can DanEce i signed o five labels at onye.	1	Dead Can Dance is signed to five labels at once.	1
900	T885	GW51	   The capital city was on 433 sq km  (167 sq mi).  The elevation was on 900 m (3,000 ft).  The highest elevation was on 1,400 m (4,600 ft).  The lowest elevation of Caracas is 870 m (2,850 ft).    	CaYracas s a a capiutal city a few thousand feeE above sAa elvel.	2	Caracas is a a capital city a few thousand feet above sea level.	2
1543	T1659	GW4	   Jungle is a movie.  Jungle was produced by Todd Fellman, Mike Gabrawy, Gary Hamilton, Mark Lazarus, Dana Lustig, Greg McLean.  In the box office, Jungle made $883,744.  The production company of Jungle are Babber Films, Cutting Edge Group, Screen Australia, Screen Queensland.    	ThZe film ungle made a profit at teh obx offEice.	1	The film Jungle made a profit at the box office.	1
646	T741	GW2	   David Duchovny was born as David William Duchovny ,  (1960-08-07) August 7, 1960 (age 58) , New York, U.S..  The residence of David Duchovny is Los Angeles, California, U.S..  The alma mater of David Duchovny is Princeton University , Yale University.  The spouse(s) of David Duchovny is Tea Leoni , ( m. 1997;  div. 2014).   	David Duchovny studed Snglish awt Princeton.	1	David Duchovny studied English at Princeton.	1
136	T207	GW1	   Burn Energy is a food&drink.  The type of Burn Energy is Energy Drink.  The manufacturer of Burn Energy is Monster Beverage.  The variants of Burn Energy are Burn Original , Burn Tropical , Burn Berry , Burn Blue , Burn Mocha Energy (Coffee-flavored and non-carbonated) , Burn Sugarfree , Burn Lemon Ice.    	Teh BHrn Leomn IcA variety is more popular thain hte Burn Blue variety.	1	The Burn Lemon Ice variety is more popular than the Burn Blue variety.	1
456	T536	GW0	   The city and county of Denver, Colorado is Denver.  Denver, Colorado was founded on November 17, 1858, as Denver City, K.T..  Denver, Colorado was incorporated on November 7, 1861, as Denver City, C.T..  Denver, Colorado was consolidated on November 15, 1902, as the City and County of Denver.   	DenveD CitX and County were consolidated a fekw fears afer the trun f the 2Mth century.	2	Denver City and County were consolidated a few years after the turn of the 20th century.	2
111	T152	GW4	   Jane Austen was born on ( 1775-12-16 ) 16 December 1775 Steventon Rectory, Hampshire, England.  Jane Austen died on 18 July 1817 (1817-07-18)  (aged 41) Winchester, Hampshire, England.  The resting place of Jane Austen is Winchester Cathedral, Hampshire, England.  The relatives of Jane Austen are James Austen (brother) ,  George Austen (brother) ,  Edward Austen Knight (brother) ,  Henry Thomas Austen (brother) ,  Cassandra Austen (sister) ,  Sir Francis Austen (aka Francis, brother) ,  Charles Austen (brother) ,  Eliza de Feuillide (cousin).    	Jne Austne was born in Englana.	2	Jane Austen was born in England.	2
483	T554	GW51	   The country of Danehill is United States.  The grandsire of Danehill is Northern Dancer.  The damsire of Danehill is His Majesty.  Danehill was foaled on ( 1986-03-26 ) 26 March 1986.   	Danehill iX a famous racehorse frEom he United SBtates.	2	Danehill is a famous racehorse from the United States.	2
1791	T2032	GW28	   Republic of Indonesia is a country.  The official language and national language of Republic of Indonesia is Indonesian.  The regional languages was on Over 700 languages.  The ethnic groups was on Over 300 ethnic groups.   	Repbulic oQf Indonesia is a ulti-ethnic and multi-lingual ccountry.	2	Republic of Indonesia is a multi-ethnic and multi-lingual country.	2
894	T848	GW6	   The production company of Dear White People are Code Red Films, Duly Noted, Homegrown Pictures.  Dear White People was written by Justin Simien.  The release date of Dear White People are January 18, 2014 (2014-01-18) (Sundance Film Festival), October 17, 2014 (2014-10-17) (United States).  Dear White People was produced by Effie Brown, Ann Le, Julia Lebedev, Angel Lopez, Justin Simien, Lena Waithe.   	Te wirter of Dear White Peope was als one of ifs proudcers.	2	The writer of Dear White People was also one of its producers.	2
360	T416	GW34	   Johnny Depp was born as John Christopher Depp II ,  (1963-06-09) June 9, 1963 (age 55) , Owensboro, Kentucky, US.  The years active of Johnny Depp is 1984-present.  The spouse(s) of Johnny Depp is Lori Allison , ( m. 1983;  div. 1985) , Amber Heard , ( m. 2015;  div. 2017).  The number of children of Johnny Depp are 2, including Lily-Rose Depp.   	Jhnny Depp has been marrid Vwice.	2	Johnny Depp has been married twice.	2
669	T749	GW14	   Crossed is a book.  The format of Crossed is Limited series.  The genre of Crossed are Horror,  post-apocalyptic.  The publication date of Crossed was on September 2008 - March 2010.   	Crossed i a post-apocalyptic serise publishmd after the trun o th century.	2	Crossed is a post-apocalyptic series published after the turn of the century.	2
718	T785	GW51	   Ctrl is a album.  Ctrl was released on June 9, 2017 (2017-06-09).  The studio of Ctrl are No Excuses, The Lake House in Michigan, EngineEars, Platinum Sounds, Top Dawg House of Pain, Josef Leimberg's studios, Windmark, 1500 or Nothin' Studios.  The label of Ctrl are Top Dawg, RCA.   	Ctrl Pas SZA's debwt studio albuHm.	1	Ctrl was SZA's debut studio album.	1
419	T458	GW4	   The playing time of Cotract bridge is WBF tournament games = 7.5  minutes per deal.  The players of Cotract bridge is 4.  The cards of Cotract bridge is 52.  The card rank (highest first) of Cotract bridge is A K Q J 10 9 8 7 6 5 4 3 2.   	Teh game Contract bridgX uses he jvker card.	0	The game Contract bridge uses the joker card.	0
1393	T1544	GW1	   The number of children of Johnny Cash are 5, including Rosanne and John Carter.  The relatives of Johnny Cash is Tommy Cash (brother).  The birth name of Johnny Cash is J.R. Cash.  The associated acts of Johnny Cash are The Tennessee Three, The Highwaymen, Million Dollar Quartet, June Carter Cash, The Statler Brothers, The Carter Family, The Oak Ridge Boys, Bob Dylan, Merle Haggard, Glen Campbell, Tom Petty and the Heartbreakers, U2.   	All fo Johnyn Cash's children had tie smae bioloCical mother.	1	All of Johnny Cash's children had the same biological mother.	1
810	T816	GW6	   Curling at the XXIII Olympic Winter Games is a sports event.  The venue of Curling at the XXIII Olympic Winter Games is Gangneung Gymnasium.  The dates of Curling at the XXIII Olympic Winter Games is 8-25 February.  The no. of events of Curling at the XXIII Olympic Winter Games is 3 (1 men, 1 women, 1 mixed).   	The XXIII Olympic Winter GameV took plce i 2g18.	2	The XXIII Olympic Winter Games took place in 2018.	2
471	T544	GW28	   Despicable Me 3 is a movie.  The release date of Despicable Me 3 are June 14, 2017  ( 2017-06-14 )  (Annecy), June 30, 2017  ( 2017-06-30 )  (United States).  Despicable Me 3 was starring Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove, Steve Coogan, Jenny Slate, Dana Gaier, Julie Andrews.  Despicable Me 3 was music by Heitor Pereira.   	Despicable Ge 3 His a Hollywood mxvie.	2	Despicable Me 3 is a Hollywood movie.	2
